w_c,w_s,p,r_in,h,n_rings,r_out,gamma_eff,bias_g05,bias_g50,bias_g90,solve_s
0.4,2.4,2.8,9.0,0.2,30,14.6,0.85,7.867624571833431e-07,9.497899279597988e-05,0.0015091417235648663,2.8
0.4,2.4,2.8,10.0,0.2,30,15.6,0.9,9.044499232890857e-07,0.0001297214277462544,0.0009990796726682127,3.1
0.5,0.4,0.9,3.0,0.2,91,8.0,0.8,1.9932128447752717e-07,1.323580158441029e-05,0.04574815907788676,2.4
0.5,0.4,0.9,4.0,0.2,91,9.0,0.85,1.5892124349825565e-07,1.5270096132335986e-05,0.0040453563807874016,3.2
0.5,0.4,0.9,5.0,0.2,91,10.0,0.9,1.4364202438610363e-07,1.887453049098653e-05,0.0004807358290130903,4.0
0.5,0.4,0.9,6.0,0.2,91,11.0,0.9,5.540410228377368e-07,2.8547624603025845e-05,0.00028068264560654477,5.2
0.5,0.4,0.9,7.0,0.2,91,12.0,0.9,5.603020517552793e-07,4.131520102346187e-05,0.000252177853034663,5.7
0.5,0.4,0.9,8.0,0.2,91,13.0,0.9,5.919896408634884e-07,5.413774634788204e-05,5.412800437309961e-06,6.5
0.5,0.4,0.9,9.0,0.2,91,14.0,0.9,6.553351399318785e-07,7.278980574032534e-05,0.00021000695914341616,7.0
0.5,0.4,0.9,10.0,0.2,91,15.0,0.9,7.672390623936209e-07,0.00010958442348096842,0.0003207244482860139,8.0
0.5,0.5,1.0,3.0,0.25,82,8.0,0.75,2.9710223081735876e-07,9.673625864237145e-06,0.04239797571528636,1.2
0.5,0.5,1.0,4.0,0.25,82,9.0,0.8,2.462646745415853e-07,1.4433529267776635e-05,0.0029212631399218036,1.5
0.5,0.5,1.0,5.0,0.25,82,10.0,0.85,2.2377736363932144e-07,2.0475147953780137e-05,0.002816788625455535,1.9
0.5,0.5,1.0,6.0,0.25,82,11.0,0.85,2.1594428756266382e-07,2.8437113127388614e-05,0.0027380037083348796,2.1
0.5,0.5,1.0,7.0,0.25,82,12.0,0.9,2.1841719499704482e-07,3.913622198159494e-05,0.00010418937616196722,2.5
0.5,0.5,1.0,8.0,0.25,82,13.0,0.9,9.220863075309893e-07,5.3987867483451524e-05,5.915615968032917e-05,3.3
0.5,0.5,1.0,9.0,0.25,82,14.0,0.9,1.0209551802864425e-06,7.562751186196426e-05,0.00018114443405270464,3.7
0.5,0.5,1.0,10.0,0.25,82,15.0,0.9,1.1950873922694782e-06,0.00010926238239417074,0.00027348060108167704,3.9
0.5,0.8,1.3,3.0,0.25,63,8.0,0.75,3.539791624262989e-07,8.782187079359183e-05,0.020514317902559087,1.1
0.5,0.8,1.3,4.0,0.25,63,9.0,0.7,2.4167350509696206e-06,0.00024562891483026483,0.004693053934667457,1.5
0.5,0.8,1.3,5.0,0.25,63,10.0,0.8,6.927041669158029e-07,5.755866766365969e-05,0.003898710988332832,1.7
0.5,0.8,1.3,6.0,0.25,63,11.0,0.85,1.298840102137433e-08,3.376735437821132e-05,0.004302207179309514,2.1
0.5,0.8,1.3,7.0,0.25,63,12.0,0.85,2.5791515445572344e-07,4.61157967891479e-05,0.0011556859304433509,2.3
0.5,0.8,1.3,8.0,0.25,63,13.0,0.9,1.0359682433014328e-06,6.398593750622794e-05,0.0008615844367432235,2.6
0.5,0.8,1.3,9.0,0.25,63,14.0,0.9,9.96305688727439e-07,5.8793420858682666e-05,0.0005721215039040661,2.9
0.5,0.8,1.3,10.0,0.25,63,15.0,0.9,1.342869709874961e-06,0.0001432255562585638,0.0007846038618722906,3.4
0.5,1.0,1.5,3.0,0.25,55,8.0,0.7,2.9540727231047725e-07,4.0816592239423244e-07,0.051194865421927194,0.9
0.5,1.0,1.5,4.0,0.25,55,9.0,0.75,2.643653611578145e-07,1.447385884656427e-05,0.00665277499721828,1.1
0.5,1.0,1.5,5.0,0.25,55,10.0,0.85,2.381080295155158e-07,2.1672444910914024e-05,0.006454937364540836,1.5
0.5,1.0,1.5,6.0,0.25,55,11.0,0.85,2.2784005926368422e-07,3.0035108272707944e-05,0.006331818206949391,1.8
0.5,1.0,1.5,7.0,0.25,55,12.0,0.9,2.2896543006023506e-07,4.1090777772367915e-05,0.0009075965389242491,2.1
0.5,1.0,1.5,8.0,0.25,55,13.0,0.9,9.617517482407578e-07,5.639194182049945e-05,0.0008713915144251683,2.3
0.5,1.0,1.5,9.0,0.25,55,14.0,0.9,1.0605104459049386e-06,7.866025714242664e-05,4.135050370335236e-06,2.6
0.5,1.0,1.5,10.0,0.25,55,15.0,0.9,1.2370326826216527e-06,0.00011323098397941767,8.143752407441252e-05,3.1
0.5,1.2,1.7,3.0,0.25,49,8.0,0.75,7.811499456167326e-07,4.170177406415121e-05,0.01750498749934848,1.0
0.5,1.2,1.7,4.0,0.25,49,9.0,0.8,2.2643387520560054e-07,3.703594114501385e-05,0.0033071217089724048,1.4
0.5,1.2,1.7,5.0,0.25,49,10.0,0.85,2.682669962839057e-07,2.490907899477257e-05,0.00315783422155147,1.7
0.5,1.2,1.7,6.0,0.25,49,11.0,0.85,1.685740697032756e-07,2.0095325399704933e-05,0.0024878625227868767,1.9
0.5,1.2,1.7,7.0,0.25,49,12.0,0.9,2.633594619050328e-07,4.29605351376372e-05,0.0007902753522766037,2.2
0.5,1.2,1.7,8.0,0.25,49,13.0,0.9,9.788543331445965e-07,5.4637276024949166e-05,0.0005818702816442478,2.5
0.5,1.2,1.7,9.0,0.25,49,14.0,0.9,1.0426338786784228e-06,7.498376712822274e-05,9.922306343657095e-05,2.9
0.5,1.2,1.7,10.0,0.25,49,15.0,0.9,1.3051428099375428e-06,0.00012430845884892072,0.00023458109003704486,3.1
0.5,1.6,2.1,3.0,0.25,40,8.0,0.75,1.0764723019640599e-06,7.372992854559612e-05,0.016541222963835756,0.9
0.5,1.6,2.1,4.0,0.25,40,9.0,0.75,4.137737947829123e-07,2.06686386827748e-06,0.003990769828460028,1.2
0.5,1.6,2.1,5.0,0.25,40,10.0,0.8,2.446394261612639e-07,1.1225534497838474e-05,0.003597139739680122,1.5
0.5,1.6,2.1,6.0,0.25,40,11.0,0.85,1.3429075140791724e-07,4.104669424354057e-06,0.004412101327432083,1.7
0.5,1.6,2.1,7.0,0.25,40,12.0,0.85,2.985503747554574e-07,5.635866139030998e-05,0.001548837510095158,1.8
0.5,1.6,2.1,8.0,0.25,40,13.0,0.9,1.1863870749140304e-06,7.131956821460061e-05,0.0007319371636020922,2.1
0.5,1.6,2.1,9.0,0.25,40,14.0,0.9,1.0218344947965363e-06,7.153421706007634e-05,0.0004293537634176836,2.3
0.5,1.6,2.1,10.0,0.25,40,15.0,0.95,1.260876555608803e-06,0.00011187944396551242,0.00045348810884593416,2.5
0.5,2.4,2.9,3.0,0.25,29,8.8,0.7,1.394728392556388e-06,0.00010716773848939987,0.013178069601938791,0.9
0.5,2.4,2.9,4.0,0.25,29,9.8,0.75,2.221403194724303e-07,3.357920359547961e-06,0.003152540873587961,1.0
